open,high,low,close,volume,vwap,timestamp,transactions,otc
132.95,135.29,132.95,134.78,228375,133.7491,1735808400000,1493,
134.77,135.07,134.76,134.99,30918,134.8886,1735808460000,408,
135,135.38,134.99,135.23,32664,135.1473,1735808520000,548,
135.2,135.31,134.88,135.19,40304,135.0513,1735808580000,593,
135.18,135.29,135.06,135.19,9569,135.2016,1735808640000,212,
135.18,135.35,135.04,135.32,17951,135.1816,1735808700000,233,
135.34,135.56,135.32,135.425,35530,135.4674,1735808760000,391,
135.35,135.42,135.27,135.42,10983,135.3433,1735808820000,212,
135.41,135.51,135.4,135.49,14909,135.4602,1735808880000,203,
135.48,135.5,135.43,135.43,11084,135.476,1735808940000,242,
135.43,135.5,135.38,135.49,10603,135.4507,1735809000000,198,
135.48,135.5,135.44,135.5,12190,135.483,1735809060000,173,
135.5,135.72,135.5,135.69,22136,135.6492,1735809120000,327,
135.66,135.8,135.59,135.69,18553,135.7403,1735809180000,221,
135.7,135.71,135.64,135.68,9380,135.6776,1735809240000,154,
135.73,135.73,135.6,135.66,12840,135.6733,1735809300000,254,
135.7,135.74,135.7,135.73,2522,135.7209,1735809360000,85,
135.73,135.94,135.73,135.89,23090,135.8563,1735809420000,307,
135.86,135.88,135.63,135.64,13924,135.7303,1735809480000,249,
135.64,135.64,135.42,135.5,18221,135.5583,1735809540000,288,
135.57,135.66,135.55,135.55,8742,135.6015,1735809600000,159,
135.56,135.56,135.42,135.43,4775,135.5095,1735809660000,143,
135.43,135.47,135.34,135.46,12754,135.411,1735809720000,208,
135.47,135.51,135.45,135.51,8739,135.4897,1735809780000,135,
135.5,135.53,135.45,135.49,5226,135.508,1735809840000,123,
135.45,135.45,135.41,135.41,2827,135.4371,1735809900000,98,
135.41,135.47,135.38,135.47,8139,135.4265,1735809960000,125,
135.44,135.47,135.36,135.45,11708,135.4153,1735810020000,142,
135.49,135.55,135.48,135.53,8917,135.5168,1735810080000,156,
135.51,135.7,135.5,135.7,9141,135.5512,1735810140000,126,
135.67,135.67,135.59,135.62,3839,135.6307,1735810200000,90,
135.58,135.58,135.55,135.56,2628,135.5618,1735810260000,73,
135.63,135.7,135.63,135.63,4332,135.6545,1735810320000,94,
135.63,135.63,135.55,135.59,3239,135.5893,1735810380000,73,
135.55,135.6,135.55,135.6,2812,135.5797,1735810440000,68,
135.65,135.72,135.64,135.64,4481,135.6745,1735810500000,78,
135.63,135.63,135.57,135.62,2321,135.5967,1735810560000,86,
135.55,135.58,135.55,135.58,2559,135.5559,1735810620000,53,
135.55,135.65,135.45,135.49,11099,135.5598,1735810680000,229,
135.48,135.53,135.41,135.53,5071,135.4564,1735810740000,106,
135.5,135.51,135.47,135.51,4888,135.4944,1735810800000,89,
135.54,135.64,135.54,135.62,7298,135.5927,1735810860000,109,
135.63,135.73,135.63,135.73,3629,135.6753,1735810920000,80,
135.73,135.8,135.66,135.79,5108,135.7492,1735810980000,90,
135.79,135.82,135.7,135.74,12128,135.7763,1735811040000,133,
135.74,135.77,135.74,135.76,3097,135.7496,1735811100000,54,
135.76,135.76,135.75,135.75,5793,135.7511,1735811160000,59,
135.76,135.82,135.76,135.81,4341,135.7648,1735811220000,108,
135.83,135.83,135.75,135.75,3329,135.8038,1735811280000,105,
135.76,135.77,135.76,135.76,1678,135.7683,1735811400000,52,
135.74,135.74,135.7,135.7,1677,135.7194,1735811460000,60,
135.7,135.76,135.69,135.7,3315,135.7281,1735811520000,66,
135.7,135.7,135.67,135.67,1172,135.6894,1735811580000,36,
135.65,135.67,135.61,135.67,3375,135.6435,1735811640000,112,
135.7,135.77,135.7,135.77,5532,135.7342,1735811700000,99,
135.75,135.79,135.75,135.79,9231,135.7652,1735811760000,136,
135.79,135.84,135.79,135.8,4207,135.813,1735811820000,81,
135.85,135.97,135.85,135.96,17238,135.9029,1735811940000,184,
135.96,136.11,135.96,136.07,22680,136.02,1735812000000,353,
136.07,136.07,135.9,135.92,6957,135.9872,1735812060000,139,
135.99,136,135.93,135.93,2217,135.9597,1735812120000,71,
135.94,135.94,135.94,135.94,1041,135.9506,1735812180000,44,
135.94,135.94,135.82,135.85,3012,135.8901,1735812240000,89,
135.89,135.91,135.85,135.85,3015,135.8866,1735812300000,73,
135.84,135.84,135.75,135.8,8860,135.7676,1735812360000,171,
135.75,135.84,135.72,135.84,1576,135.7864,1735812420000,57,
135.89,135.91,135.89,135.91,1036,135.89,1735812540000,40,
135.9,135.9,135.86,135.9,2743,135.8948,1735812600000,70,
135.9,135.92,135.9,135.9,9704,135.9025,1735812660000,86,
135.87,135.87,135.69,135.72,9116,135.7591,1735812720000,171,
135.72,135.72,135.6,135.6,9452,135.663,1735812780000,193,
135.7,135.72,135.7,135.7,1598,135.6971,1735812840000,40,
135.71,135.76,135.7,135.76,4307,135.7178,1735812900000,77,
